Duration: 19ms
Time 	 Airline 	 Flight 	 Airport
0:4	 FHE		 OU8214		 BTG
0:14	 JWS		 TE5492		 PLC
0:36	 JXG		 FA9417		 WCY
0:40	 WSG		 FL5328		 DLV
0:59	 TPQ		 PH130		 LTI
1:4	 DJF		 DK9115		 GIJ
1:25	 QHQ		 NI4669		 DFJ
1:30	 VEB		 LD254		 UEO
1:31	 KJV		 OT1234		 IWU
1:59	 APX		 BR662		 KFT
2:5	 TOH		 HN3819		 MYH
2:23	 AMI		 QM1567		 HEY
2:36	 CMB		 FU4105		 IBM
2:54	 AGR		 JM3149		 TLT
2:59	 KCD		 GJ1987		 BDX
3:15	 GTH		 NH40		 EVY
3:25	 GYA		 CL3559		 DTM
3:31	 LEH		 VP2550		 VGG
3:36	 GAG		 RM6373		 VBW
3:50	 EET		 MM2599		 ICA
4:44	 IFO		 BI189		 VMB
4:49	 ESC		 EK4215		 CON
4:59	 ATA		 PE6821		 FSB
5:53	 DYS		 QR5651		 IXB
5:54	 JKX		 AA1487		 TGR
6:5	 AMI		 HL3865		 JAX
6:11	 TDI		 JM9978		 YFI
6:18	 DOE		 MY478		 TAG
6:20	 YWE		 EB8164		 WRO
6:34	 MHD		 WL6063		 QYD
6:46	 UOQ		 YW9849		 NAC
6:57	 WEJ		 KF932		 CWQ
7:59	 EHE		 IV5586		 MIT
8:19	 SEM		 VH3422		 PXB
8:39	 WFV		 VL2966		 PAA
8:43	 XWA		 YU148		 EOH
9:22	 VLH		 WO930		 HEN
10:4	 NWB		 SR561		 GJJ
10:6	 PUY		 UX2634		 JOR
10:37	 SKC		 YH5432		 SGM
10:40	 DFW		 CE8143		 OSX
10:44	 WAE		 IU7191		 GUU
10:55	 MCH		 QA5470		 RKY
10:58	 KCR		 OW2168		 XIN
11:18	 PBA		 JE9868		 FWX
11:19	 EGQ		 VL6423		 HKP
11:21	 SCW		 BT5351		 IIP
11:26	 GUM		 UW4101		 OLU
12:0	 MGQ		 EP3952		 KYI
12:3	 WLO		 QH1519		 XCK
12:11	 QRV		 WO4449		 SHO
12:35	 VIL		 FO7035		 TAC
12:49	 FYP		 LK1173		 FJB
12:52	 JLC		 OA6472		 TFN
12:52	 JUH		 OP303		 KAM
12:53	 XSW		 QQ2874		 NRF
12:58	 ILY		 CW5888		 BBF
13:16	 DUO		 LO1865		 URR
13:22	 LIV		 RW8899		 PRA
13:56	 DNP		 CA5026		 QXL
14:5	 XFF		 TT1843		 TBX
14:6	 DTI		 NH2676		 QNB
15:14	 BDK		 YV5524		 EME
15:24	 KHR		 JD648		 QYB
15:38	 WXJ		 QW6627		 OQG
15:59	 QIO		 VR2222		 DEG
16:15	 VTP		 FD3244		 KFX
17:6	 APW		 HV308		 LMM
17:33	 YWP		 AR6770		 XLA
18:1	 GTQ		 FL7612		 WOF
18:10	 DKS		 SJ5364		 YHH
18:14	 HPJ		 XS9045		 AUM
18:14	 MJS		 EG6887		 DKW
18:17	 XDU		 WF906		 EVO
18:23	 CSY		 IS1062		 SDF
18:56	 YEN		 NG5478		 BBS
19:2	 GLN		 GX6200		 PXK
19:8	 JFR		 TU8546		 CPL
19:20	 YTY		 AI1144		 RTU
19:37	 XBK		 CD598		 WWP
19:41	 UYJ		 XS8783		 FCT
19:54	 KQM		 CU5241		 CAB
20:3	 VSQ		 CO7419		 PSJ
20:9	 MJG		 OC1933		 CKM
20:18	 RRY		 NS8354		 GMC
20:43	 IKD		 BW1266		 AVR
20:45	 MNC		 OU7900		 WCI
20:58	 QDQ		 NB1403		 LXO
21:0	 KHE		 JA623		 LYU
21:4	 CCM		 DX2385		 SSU
21:13	 YEE		 KW8464		 GOV
21:46	 KBB		 BI1180		 FOK
21:59	 LJT		 KP5925		 PXY
22:16	 LTT		 LQ4954		 SGT
22:30	 LQW		 LJ7525		 KAV
22:40	 PAJ		 PK2062		 VRL
22:52	 BGQ		 ST8950		 CFJ
23:14	 WHD		 FG5544		 PXD
23:25	 QKB		 VM8975		 HUM
23:38	 KNL		 YC2021		 FEL
